T v u h s
185 0.00113388 783.61 785.42 2.1868
190 0.00114113 805.76 807.59 2.2350
195 0.00114866 828.04 829.88 2.2828
200 0.00115648 850.44 852.29 2.3305
201.370 0.00115868 856.61 858.46 2.3435
201.370 0.12374 2594.8 2792.8 6.4199
210 0.12722 2614.1 2817.7 6.4720
220 0.13106 2635.1 2844.8 6.5274
230 0.13477 2655.0 2870.6 6.5792
240 0.13838 2674.2 2895.6 6.6284
250 0.14190 2692.9 2919.9 6.6753
260 0.14535 2711.1 2943.7 6.7204
270 0.14875 2729.1 2967.1 6.7638
280 0.15209 2746.8 2990.1 6.8059
290 0.15539 2764.3 3012.9 6.8467
300 0.15866 2781.5 3035.4 6.8863
310 0.16190 2798.8 3057.8 6.9250
320 0.16511 2815.8 3080.0 6.9628
330 0.16829 2832.8 3102.1 6.9997
340 0.17145 2849.8 3124.1 7.0359
350 0.17459 2866.7 3146.0 7.0713
360 0.17772 2883.4 3167.8 7.1061
370 0.18083 2900.3 3189.6 7.1403
380 0.18392 2917.1 3211.4 7.1738
390 0.18700 2933.9 3233.1 7.2069
400 0.19007 2950.8 3254.9 7.2394
410 0.19313 2967.6 3276.6 7.2714
420 0.19618 2984.4 3298.3 7.3030
430 0.19922 3001.2 3320.0 7.3341
440 0.20225 3018.1 3341.7 7.3648
450 0.20527 3035.1 3363.5 7.3950
460 0.20829 3052.0 3385.3 7.4249
470 0.21130 3068.9 3407.0 7.4545
480 0.21430 3086.0 3428.9 7.4836
490 0.21730 3103.0 3450.7 7.5124
500 0.22029 3120.1 3472.6 7.5409
520 0.22626 3154.5 3516.5 7.5970
540 0.23222 3189.0 3560.6 7.6518
560 0.23815 3223.8 3604.8 7.7056
580 0.24408 3258.7 3649.2 7.7583
600 0.24999 3293.9 3693.9 7.8100
620 0.25589 3329.3 3738.7 7.8608
640 0.26178 3365.0 3783.8 7.9108
660 0.26766 3400.9 3829.2 7.9599
680 0.27354 3437.0 3874.7 8.0082
700 0.27940 3473.5 3920.5 8.0557
720 0.28526 3510.2 3966.6 8.1026
740 0.29112 3547.1 4012.9 8.1487
760 0.29697 3584.3 4059.5 8.1943
780 0.30281 3621.8 4106.3 8.2391
800 0.30865 3659.5 4153.3 8.2834
820 0.31449 3697.5 4200.7 8.3271
840 0.32032 3735.8 4248.3 8.3702
860 0.32615 3774.3 4296.1 8.4128
880 0.33197 3813.0 4344.2 8.4549
900 0.33780 3852.1 4392.6 8.4965
920 0.34361 3891.4 4441.2 8.5376
940 0.34943 3931.0 4490.1 8.5782
960 0.35525 3970.8 4539.2 8.6184
980 0.36106 4010.9 4588.6 8.6581
1000 0.36687 4051.2 4638.2 8.6974
Water/Steam at p = 1.8 MPa (Tsat = 207.112)
0 0.00099929 -0.01 1.79 -0.00004
5 0.00099920 21.01 22.81 0.07622
10 0.00099949 41.97 43.77 0.15092
15 0.00100011 62.90 64.70 0.22419
20 0.00100102 83.80 85.60 0.29611
25 0.00100219 104.69 106.49 0.36676
30 0.00100361 125.56 127.37 0.43621
35 0.00100525 146.44 148.25 0.50451
40 0.00100709 167.31 169.12 0.57171
45 0.00100913 188.18 190.00 0.63785
50 0.00101135 209.06 210.88 0.70298
55 0.00101375 229.95 231.77 0.76713
60 0.00101632 250.84 252.67 0.83035
65 0.00101906 271.76 273.59 0.89265
70 0.00102196 292.67 294.51 0.95408
75 0.00102501 313.60 315.45 1.0147
80 0.00102822 334.56 336.41 1.0744
85 0.00103159 355.52 357.38 1.1334
90 0.00103510 376.52 378.38 1.1916
95 0.00103877 397.53 399.40 1.2491
100 0.00104260 418.56 420.44 1.3059
105 0.00104657 439.64 441.52 1.3620
110 0.00105070 460.73 462.62 1.4174
115 0.00105498 481.86 483.76 1.4722
120 0.00105943 503.03 504.94 1.5265
125 0.00106403 524.24 526.16 1.5801
130 0.00106880 545.50 547.42 1.6332
135 0.00107374 566.80 568.73 1.6857
140 0.00107885 588.15 590.09 1.7377
145 0.00108414 609.57 611.52 1.7893
150 0.00108961 631.04 633.00 1.8403
155 0.00109527 652.57 654.54 1.8909
160 0.00110113 674.18 676.16 1.9411
165 0.00110720 695.87 697.86 1.9909
170 0.00111348 717.63 719.63 2.0404
175 0.00111998 739.48 741.50 2.0894
180 0.00112672 761.43 763.46 2.1382
185 0.00113370 783.47 785.51 2.1866
190 0.00114095 805.63 807.68 2.2347
195 0.00114847 827.89 829.96 2.2825
200 0.00115628 850.29 852.37 2.3301
207.112 0.00116792 882.37 884.47 2.3975
207.112 0.11037 2597.2 2795.9 6.3775
210 0.11145 2604.1 2804.7 6.3958
220 0.11505 2626.4 2833.5 6.4548
230 0.11848 2647.3 2860.6 6.5092
240 0.12180 2667.4 2886.6 6.5602
250 0.12502 2686.7 2911.7 6.6087
260 0.12817 2705.5 2936.2 6.6551
270 0.13126 2723.8 2960.1 6.6996
280 0.13430 2742.0 2983.7 6.7426
290 0.13729 2759.8 3006.9 6.7842
300 0.14025 2777.4 3029.9 6.8246
310 0.14317 2794.9 3052.6 6.8639
320 0.14606 2812.2 3075.1 6.9022
330 0.14893 2829.4 3097.5 6.9396
340 0.15177 2846.5 3119.7 6.9761
350 0.15460 2863.5 3141.8 7.0120
360 0.15741 2880.6 3163.9 7.0471
370 0.16020 2897.5 3185.9 7.0815
380 0.16297 2914.5 3207.8 7.1154
390 0.16573 2931.4 3229.7 7.1487
400 0.16849 2948.3 3251.6 7.1814
410 0.17122 2965.3 3273.5 7.2136
420 0.17395 2982.2 3295.3 7.2454
430 0.17667 2999.2 3317.2 7.2767
440 0.17939 3016.1 3339.0 7.3075
450 0.18209 3033.1 3360.9 7.3380
460 0.18479 3050.1 3382.7 7.3680
470 0.18748 3067.1 3404.6 7.3976
480 0.19016 3084.2 3426.5 7.4269
490 0.19284 3101.4 3448.5 7.4559
500 0.19551 3118.5 3470.4 7.4845
520 0.20084 3153.0 3514.5 7.5407
540 0.20615 3187.6 3558.7 7.5957
560 0.21145 3222.4 3603.0 7.6496
580 0.21673 3257.5 3647.6 7.7025
600 0.22200 3292.7 3692.3 7.7543
620 0.22726 3328.2 3737.3 7.8052
640 0.23251 3363.9 3782.4 7.8552
660 0.23775 3399.9 3827.8 7.9044
680 0.24299 3436.1 3873.5 7.9528
700 0.24821 3472.6 3919.4 8.0004
720 0.25343 3509.3 3965.5 8.0473
740 0.25865 3546.2 4011.8 8.0936
760 0.26386 3583.5 4058.4 8.1391
780 0.26906 3621.0 4105.3 8.1840
800 0.27426 3658.7 4152.4 8.2284
820 0.27945 3696.8 4199.8 8.2721
840 0.28464 3735.0 4247.4 8.3153
860 0.28983 3773.6 4295.3 8.3579
880 0.29502 3812.5 4343.5 8.4000
900 0.30020 3851.5 4391.9 8.4416
920 0.30537 3890.8 4440.5 8.4828
940 0.31055 3930.4 4489.4 8.5234
960 0.31572 3970.3 4538.6 8.5636
980 0.32089 4010.4 4588.0 8.6033
1000 0.32606 4050.7 4637.6 8.6426
Water/Steam at p = 2.0 MPa (Tsat = 212.377)
0 0.00099919 -0.01 1.99 -0.00003
5 0.00099910 21.01 23.01 0.07622
10 0.00099939 41.97 43.97 0.15091
15 0.00100001 62.89 64.89 0.22416
20 0.00100093 83.79 85.79 0.29607
25 0.00100210 104.68 106.68 0.36671
30 0.00100352 125.54 127.55 0.43615
35 0.00100516 146.42 148.43 0.50444
40 0.00100700 167.29 169.30 0.57163
45 0.00100904 188.15 190.17 0.63776
50 0.00101126 209.04 211.06 0.70289
55 0.00101366 229.91 231.94 0.76704
60 0.00101623 250.81 252.84 0.83024
65 0.00101897 271.71 273.75 0.89254
70 0.00102187 292.64 294.68 0.95396
75 0.00102492 313.56 315.61 1.0145
80 0.00102813 334.51 336.57 1.0743
85 0.00103149 355.48 357.54 1.1333
90 0.00103501 376.46 378.53 1.1915
95 0.00103867 397.47 399.55 1.2490
100 0.00104249 418.51 420.59 1.3057
105 0.00104647 439.57 441.66 1.3618
110 0.00105059 460.67 462.77 1.4173
115 0.00105487 481.79 483.90 1.4721
120 0.00105931 502.96 505.08 1.5263
125 0.00106392 524.16 526.29 1.5799
130 0.00106868 545.41 547.55 1.6330
135 0.00107362 566.71 568.86 1.6855
140 0.00107872 588.06 590.22 1.7375
145 0.00108401 609.47 611.64 1.7890
150 0.00108948 630.94 633.12 1.8401
155 0.00109513 652.48 654.67 1.8907
160 0.00110099 674.08 676.28 1.9409
165 0.00110705 695.76 697.97 1.9907
170 0.00111332 717.51 719.74 2.0401
175 0.00111982 739.36 741.60 2.0892
180 0.00112655 761.31 763.56 2.1379
185 0.00113353 783.34 785.61 2.1863
190 0.00114076 805.49 807.77 2.2344
195 0.00114827 827.75 830.05 2.2822
200 0.00115607 850.14 852.45 2.3298
210 0.00117262 895.31 897.66 2.4244
212.377 0.00117675 906.15 908.50 2.4468
212.377 0.0995850 2599.1 2798.3 6.3390
220 0.10218 2617.2 2821.6 6.3867
230 0.10541 2639.4 2850.2 6.4440
240 0.10850 2660.2 2877.2 6.4973
250 0.11150 2680.2 2903.2 6.5475
260 0.11441 2699.7 2928.5 6.5952
270 0.11726 2718.6 2953.1 6.6409
280 0.12005 2737.0 2977.1 6.6849
290 0.12280 2755.2 3000.8 6.7273
300 0.12551 2773.2 3024.2 6.7684
310 0.12818 2790.9 3047.3 6.8083
320 0.13082 2808.5 3070.1 6.8472
330 0.13344 2825.9 3092.8 6.8851
340 0.13603 2843.2 3115.3 6.9221
350 0.13860 2860.5 3137.7 6.9583
360 0.14115 2877.6 3159.9 6.9937
370 0.14369 2894.7 3182.1 7.0285
380 0.14621 2911.8 3204.2 7.0627
390 0.14872 2928.9 3226.3 7.0962
400 0.15121 2945.9 3248.3 7.1292
410 0.15370 2962.9 3270.3 7.1616
420 0.15617 2980.0 3292.3 7.1935
430 0.15864 2997.0 3314.3 7.2250
440 0.16109 3014.1 3336.3 7.2560
450 0.16354 3031.1 3358.2 7.2866
460 0.16598 3048.2 3380.2 7.3168
470 0.16842 3065.4 3402.2 7.3466
480 0.17085 3082.5 3424.2 7.3760
490 0.17327 3099.7 3446.2 7.4050
500 0.17568 3116.8 3468.2 7.4337
520 0.18050 3151.4 3512.4 7.4901
540 0.18530 3186.1 3556.7 7.5453
560 0.19009 3221.0 3601.2 7.5994
580 0.19486 3256.2 3645.9 7.6523
600 0.19961 3291.5 3690.7 7.7043
620 0.20436 3327.1 3735.8 7.7553
640 0.20910 3362.8 3781.0 7.8054
660 0.21383 3398.8 3826.5 7.8547
680 0.21855 3435.1 3872.2 7.9032
700 0.22326 3471.7 3918.2 7.9509
720 0.22797 3508.4 3964.3 7.9978
740 0.23267 3545.5 4010.8 8.0441
760 0.23737 3582.7 4057.4 8.0897
780 0.24206 3620.2 4104.3 8.1347
800 0.24674 3658.0 4151.5 8.1790
820 0.25142 3696.1 4198.9 8.2228
840 0.25610 3734.4 4246.6 8.2660
860 0.26078 3772.9 4294.5 8.3087
880 0.26545 3811.8 4342.7 8.3509
900 0.27012 3850.9 4391.1 8.3925
920 0.27478 3890.2 4439.8 8.4336
940 0.27944 3929.8 4488.7 8.4743
960 0.28411 3969.7 4537.9 8.5145
980 0.28876 4009.9 4587.4 8.5543
1000 0.29342 4050.2 4637.0 8.5936
Water/Steam at p = 2.2 MPa (Tsat = 217.249)
0 0.00099909 0.00 2.20 -0.00001
5 0.00099900 21.01 23.21 0.07621
10 0.00099930 41.96 44.16 0.15089
15 0.00099992 62.88 65.08 0.22413
20 0.00100083 83.78 85.98 0.29603
25 0.00100201 104.66 106.86 0.36666
30 0.00100343 125.53 127.74 0.43608
35 0.00100507 146.39 148.60 0.50437
40 0.00100691 167.26 169.48 0.57155
45 0.00100895 188.13 190.35 0.63768
50 0.00101117 209.01 211.23 0.70280
55 0.00101357 229.88 232.11 0.76694
60 0.00101614 250.77 253.01 0.83013
65 0.00101888 271.68 273.92 0.89243
70 0.00102177 292.59 294.84 0.95384
75 0.00102483 313.52 315.77 1.0144
80 0.00102804 334.47 336.73 1.0742
85 0.00103140 355.43 357.70 1.1331
90 0.00103491 376.41 378.69 1.1913
95 0.00103857 397.42 399.70 1.2488
100 0.00104239 418.45 420.74 1.3056
105 0.00104636 439.51 441.81 1.3617
110 0.00105049 460.60 462.91 1.4171
115 0.00105477 481.73 484.05 1.4719
120 0.00105920 502.89 505.22 1.5261
125 0.00106380 524.09 526.43 1.5797
130 0.00106856 545.34 547.69 1.6328
135 0.00107349 566.64 569.00 1.6853
140 0.00107860 587.98 590.35 1.7373
145 0.00108388 609.39 611.77 1.7888
150 0.00108934 630.84 633.24 1.8399
155 0.00109500 652.38 654.79 1.8905
160 0.00110085 673.98 676.40 1.9407
165 0.00110690 695.64 698.08 1.9905
170 0.00111317 717.40 719.85 2.0399
175 0.00111966 739.25 741.71 2.0889
180 0.00112638 761.18 763.66 2.1376
185 0.00113335 783.22 785.71 2.1860
190 0.00114058 805.35 807.86 2.2341
195 0.00114808 827.61 830.14 2.2819
200 0.00115587 849.99 852.53 2.3295
210 0.00117239 895.15 897.73 2.4240
217.249 0.00118523 928.26 930.87 2.4921
217.249 0.0906980 2600.6 2800.1 6.3038
220 0.0915850 2607.5 2809.0 6.3218
230 0.0946670 2630.9 2839.2 6.3826
240 0.0975920 2652.8 2867.5 6.4383
250 0.10041 2673.6 2894.5 6.4903
260 0.10313 2693.6 2920.5 6.5396
270 0.10579 2713.1 2945.8 6.5866
280 0.10838 2732.1 2970.5 6.6316
290 0.11093 2750.6 2994.6 6.6749
300 0.11344 2768.8 3018.4 6.7167
310 0.11591 2786.9 3041.9 6.7573
320 0.11834 2804.8 3065.1 6.7967
330 0.12075 2822.4 3088.0 6.8351
340 0.12314 2839.9 3110.8 6.8726
350 0.12551 2857.3 3133.4 6.9092
360 0.12785 2874.6 3155.9 6.9450
370 0.13018 2891.9 3178.3 6.9801
380 0.13249 2909.1 3200.6 7.0145
390 0.13479 2926.4 3222.9 7.0483
400 0.13708 2943.5 3245.1 7.0815
410 0.13936 2960.6 3267.2 7.1142
420 0.14162 2977.7 3289.3 7.1463
430 0.14388 2994.9 3311.4 7.1780
440 0.14613 3012.0 3333.5 7.2091
450 0.14837 3029.2 3355.6 7.2399
460 0.15060 3046.3 3377.6 7.2702
470 0.15282 3063.5 3399.7 7.3001
480 0.15504 3080.7 3421.8 7.3296
490 0.15725 3097.9 3443.9 7.3588
500 0.15946 3115.2 3466.0 7.3876
520 0.16386 3149.9 3510.4 7.4442
540 0.16824 3184.7 3554.8 7.4996
560 0.17261 3219.7 3599.4 7.5538
580 0.17696 3254.9 3644.2 7.6069
600 0.18130 3290.3 3689.2 7.6589
620 0.18562 3325.9 3734.3 7.7100
640 0.18994 3361.7 3779.6 7.7603
660 0.19425 3397.8 3825.2 7.8096
680 0.19855 3434.2 3871.0 7.8581
700 0.20285 3470.7 3917.0 7.9059
720 0.20713 3507.5 3963.2 7.9529
740 0.21142 3544.6 4009.7 7.9993
760 0.21569 3581.9 4056.4 8.0449
780 0.21996 3619.5 4103.4 8.0900
800 0.22423 3657.3 4150.6 8.1344
820 0.22849 3695.4 4198.1 8.1782
840 0.23275 3733.7 4245.8 8.2214
860 0.23701 3772.3 4293.7 8.2641
880 0.24126 3811.1 4341.9 8.3063
900 0.24551 3850.3 4390.4 8.3480
920 0.24975 3889.7 4439.1 8.3892
940 0.25400 3929.3 4488.1 8.4299
960 0.25824 3969.2 4537.3 8.4701
980 0.26247 4009.4 4586.8 8.5099
1000 0.26671 4049.7 4636.5 8.5492
Water/Steam at p = 2.5 MPa (Tsat = 223.950)
0 0.00099894 0.00 2.50 0.00000
5 0.00099886 21.00 23.50 0.07621
10 0.00099915 41.96 44.46 0.15086
15 0.00099978 62.87 65.37 0.22408
20 0.00100070 83.76 86.26 0.29596
25 0.00100188 104.64 107.14 0.36658
30 0.00100329 125.50 128.01 0.43599
35 0.00100493 146.36 148.87 0.50426
40 0.00100678 167.22 169.74 0.57143
45 0.00100882 188.09 190.61 0.63755
50 0.00101104 208.96 211.49 0.70266
55 0.00101344 229.84 232.37 0.76679
60 0.00101601 250.72 253.26 0.82998
65 0.00101874 271.62 274.17 0.89226
70 0.00102164 292.53 295.08 0.95366
75 0.00102469 313.46 316.02 1.0142
80 0.00102789 334.39 336.96 1.0740
85 0.00103125 355.35 357.93 1.1329
90 0.00103476 376.33 378.92 1.1911
95 0.00103843 397.33 399.93 1.2486
100 0.00104224 418.36 420.97 1.3053
105 0.00104621 439.41 442.03 1.3614
110 0.00105033 460.50 463.13 1.4168
115 0.00105460 481.62 484.26 1.4716
120 0.00105904 502.78 505.43 1.5258
125 0.00106363 523.98 526.64 1.5794
130 0.00106839 545.22 547.89 1.6325
135 0.00107331 566.52 569.20 1.6850
140 0.00107841 587.85 590.55 1.7370
145 0.00108368 609.25 611.96 1.7885
150 0.00108914 630.71 633.43 1.8395
155 0.00109479 652.23 654.97 1.8901
160 0.00110063 673.82 676.57 1.9403
165 0.00110668 695.48 698.25 1.9901
170 0.00111293 717.24 720.02 2.0395
175 0.00111942 739.07 741.87 2.0885
180 0.00112613 760.99 763.81 2.1372
185 0.00113309 783.02 785.85 2.1856
190 0.00114030 805.15 808.00 2.2337
195 0.00114779 827.40 830.27 2.2815
200 0.00115556 849.76 852.65 2.3290
210 0.00117205 894.90 897.83 2.4235
220 0.00118994 940.66 943.63 2.5173
223.950 0.00119743 958.92 961.91 2.5543
223.950 0.0799490 2602.0 2801.9 6.2558
230 0.0817020 2617.5 2821.8 6.2955
240 0.0844450 2641.2 2852.3 6.3555
250 0.0870530 2663.3 2880.9 6.4107
260 0.0895620 2684.3 2908.2 6.4625
270 0.0919920 2704.6 2934.6 6.5114
280 0.0943580 2724.2 2960.1 6.5581
290 0.0966700 2743.4 2985.1 6.6028
300 0.0989370 2762.3 3009.6 6.6459
310 0.10117 2780.7 3033.6 6.6875
320 0.10336 2799.0 3057.4 6.7278
330 0.10553 2817.0 3080.8 6.7670
340 0.10767 2834.8 3104.0 6.8052
350 0.10979 2852.5 3127.0 6.8424
360 0.11188 2870.1 3149.8 6.8788
370 0.11397 2887.6 3172.5 6.9143
380 0.11603 2905.0 3195.1 6.9492
390 0.11808 2922.5 3217.7 6.9834
400 0.12012 2939.8 3240.1 7.0170
410 0.12215 2957.1 3262.5 7.0500
420 0.12416 2974.4 3284.8 7.0824
430 0.12617 2991.7 3307.1 7.1143
440 0.12816 3008.9 3329.3 7.1458
450 0.13015 3026.2 3351.6 7.1767
460 0.13213 3043.5 3373.8 7.2073
470 0.13411 3060.7 3396.0 7.2374
480 0.13607 3078.1 3418.3 7.2671
490 0.13804 3095.4 3440.5 7.2964
500 0.13999 3112.7 3462.7 7.3254
520 0.14389 3147.6 3507.3 7.3823
540 0.14777 3182.6 3552.0 7.4379
560 0.15163 3217.7 3596.8 7.4923
580 0.15548 3253.0 3641.7 7.5456
600 0.15931 3288.5 3686.8 7.5979
620 0.16314 3324.3 3732.1 7.6491
640 0.16695 3360.1 3777.5 7.6995
660 0.17076 3396.3 3823.2 7.7490
680 0.17456 3432.7 3869.1 7.7976
700 0.17835 3469.3 3915.2 7.8455
720 0.18213 3506.2 3961.5 7.8926
740 0.18591 3543.3 4008.1 7.9390
760 0.18968 3580.7 4054.9 7.9848
780 0.19345 3618.3 4101.9 8.0299
800 0.19721 3656.2 4149.2 8.0743
820 0.20097 3694.3 4196.7 8.1182
840 0.20473 3732.7 4244.5 8.1615
860 0.20848 3771.3 4292.5 8.2043
880 0.21223 3810.2 4340.8 8.2465
900 0.21597 3849.4 4389.3 8.2882
920 0.21972 3888.8 4438.1 8.3294
940 0.22346 3928.5 4487.1 8.3702
960 0.22719 3968.3 4536.3 8.4104
980 0.23093 4008.5 4585.8 8.4503
1000 0.23466 4049.0 4635.6 8.4896
Water/Steam at p = 3.0 MPa (Tsat = 233.853)
0 0.00099869 0.01 3.01 0.00003
5 0.00099861 21.00 24.00 0.07619
10 0.00099892 41.94 44.94 0.15081
15 0.00099955 62.85 65.85 0.22400
20 0.00100047 83.73 86.73 0.29586
25 0.00100165 104.60 107.60 0.36645
30 0.00100307 125.45 128.46 0.43584
35 0.00100471 146.31 149.32 0.50409
40 0.00100656 167.16 170.18 0.57124
45 0.00100860 188.02 191.05 0.63734
50 0.00101082 208.89 211.92 0.70243
55 0.00101322 229.75 232.79 0.76654
60 0.00101579 250.63 253.68 0.82971
65 0.00101852 271.52 274.58 0.89198
70 0.00102141 292.43 295.49 0.95336
75 0.00102446 313.35 316.42 1.0139
80 0.00102766 334.28 337.36 1.0736
85 0.00103101 355.23 358.32 1.1326
90 0.00103452 376.21 379.31 1.1908
95 0.00103818 397.20 400.31 1.2482
100 0.00104199 418.21 421.34 1.3050
105 0.00104595 439.26 442.40 1.3610
110 0.00105006 460.35 463.50 1.4164
115 0.00105433 481.46 484.62 1.4712
120 0.00105876 502.60 505.78 1.5254
125 0.00106334 523.80 526.99 1.5790
130 0.00106809 545.03 548.23 1.6320
135 0.00107301 566.31 569.53 1.6845
140 0.00107810 587.64 590.87 1.7365
145 0.00108336 609.03 612.28 1.7880
150 0.00108881 630.47 633.74 1.8390
155 0.00109444 651.99 655.27 1.8896
160 0.00110027 673.57 676.87 1.9397
165 0.00110630 695.22 698.54 1.9895
170 0.00111255 716.95 720.29 2.0388
175 0.00111901 738.77 742.13 2.0878
180 0.00112571 760.68 764.06 2.1365
185 0.00113265 782.69 786.09 2.1849
190 0.00113984 804.81 808.23 2.2329
195 0.00114731 827.04 830.48 2.2807
200 0.00115506 849.39 852.86 2.3282
210 0.00117149 894.50 898.01 2.4227
220 0.00118931 940.19 943.76 2.5164
230 0.00120873 986.60 990.23 2.6097
233.853 0.00121669 1004.6 1008.3 2.6455
233.853 0.0666640 2603.2 2803.2 6.1856
240 0.0682300 2619.8 2824.5 6.2274
250 0.0706270 2644.6 2856.5 6.2893
260 0.0728950 2667.7 2886.4 6.3459
270 0.0750660 2689.7 2914.9 6.3987
280 0.0771620 2710.7 2942.2 6.4486
290 0.0791960 2731.0 2968.6 6.4959
300 0.0811790 2750.8 2994.3 6.5412
310 0.0831190 2770.1 3019.5 6.5847
320 0.0850220 2789.1 3044.2 6.6266
330 0.0868930 2807.7 3068.4 6.6672
340 0.0887370 2826.2 3092.4 6.7066
350 0.0905560 2844.4 3116.1 6.7449
360 0.0923550 2862.4 3139.5 6.7823
370 0.0941340 2880.4 3162.8 6.8187
380 0.0958970 2898.2 3185.9 6.8544
390 0.0976450 2915.9 3208.8 6.8892
400 0.0993790 2933.6 3231.7 6.9234
410 0.10110 2951.1 3254.4 6.9570
420 0.10281 2968.7 3277.1 6.9900
430 0.10451 2986.2 3299.7 7.0224
440 0.10620 3003.7 3322.3 7.0542
450 0.10789 3021.1 3344.8 7.0856
460 0.10956 3038.6 3367.3 7.1165
470 0.11123 3056.1 3389.8 7.1470
480 0.11289 3073.6 3412.3 7.1770
490 0.11455 3091.1 3434.8 7.2066
500 0.11620 3108.6 3457.2 7.2359
520 0.11948 3143.8 3502.2 7.2933
540 0.12274 3179.0 3547.2 7.3493
560 0.12599 3214.3 3592.3 7.4041
580 0.12922 3249.8 3637.5 7.4577
600 0.13245 3285.4 3682.8 7.5103
620 0.13566 3321.3 3728.3 7.5618
640 0.13886 3357.4 3774.0 7.6124
660 0.14205 3393.8 3819.9 7.6621
680 0.14523 3430.3 3866.0 7.7109
700 0.14841 3467.0 3912.2 7.7590
720 0.15157 3504.0 3958.7 7.8062
740 0.15474 3541.2 4005.4 7.8528
760 0.15790 3578.7 4052.4 7.8987
780 0.16105 3616.4 4099.5 7.9439
800 0.16420 3654.3 4146.9 7.9885
820 0.16734 3692.6 4194.6 8.0325
840 0.17048 3731.0 4242.4 8.0759
860 0.17362 3769.6 4290.5 8.1187
880 0.17675 3808.6 4338.9 8.1610
900 0.17988 3847.9 4387.5 8.2028
920 0.18301 3887.3 4436.3 8.2441
940 0.18613 3927.0 4485.4 8.2849
960 0.18925 3967.0 4534.8 8.3252
980 0.19237 4007.2 4584.3 8.3651
1000 0.19549 4047.6 4634.1 8.4045
Water/Steam at p = 3.5 MPa (Tsat = 242.557)
0 0.00099844 0.02 3.51 0.00006
5 0.00099837 21.01 24.50 0.07618
10 0.00099868 41.93 45.43 0.15076
15 0.00099932 62.82 66.32 0.22392
20 0.00100024 83.70 87.20 0.29575
25 0.00100143 104.55 108.06 0.36632
30 0.00100285 125.41 128.92 0.43569
35 0.00100449 146.25 149.77 0.50391
40 0.00100634 167.11 170.63 0.57104
45 0.00100838 187.95 191.48 0.63713
50 0.00101060 208.81 212.35 0.70219
55 0.00101300 229.67 233.22 0.76629
60 0.00101556 250.55 254.10 0.82945
65 0.00101829 271.44 275.00 0.89169
70 0.00102118 292.33 295.90 0.95307
75 0.00102423 313.24 316.82 1.0136
80 0.00102742 334.16 337.76 1.0733
85 0.00103078 355.11 358.72 1.1322
90 0.00103428 376.07 379.69 1.1904
95 0.00103793 397.06 400.69 1.2478
100 0.00104173 418.07 421.72 1.3046
105 0.00104569 439.11 442.77 1.3606
110 0.00104980 460.19 463.86 1.4160
115 0.00105406 481.29 484.98 1.4708
120 0.00105848 502.44 506.14 1.5249
125 0.00106306 523.61 527.33 1.5785
130 0.00106780 544.83 548.57 1.6315
135 0.00107271 566.11 569.86 1.6840
140 0.00107778 587.43 591.20 1.7360
145 0.00108304 608.81 612.60 1.7874
150 0.00108847 630.24 634.05 1.8384
155 0.00109410 651.74 655.57 1.8890
160 0.00109991 673.31 677.16 1.9391
165 0.00110593 694.95 698.82 1.9889
170 0.00111216 716.68 720.57 2.0382
175 0.00111861 738.48 742.40 2.0872
180 0.00112529 760.38 764.32 2.1358
185 0.00113221 782.38 786.34 2.1842
190 0.00113938 804.47 808.46 2.2322
195 0.00114683 826.69 830.70 2.2799
200 0.00115456 849.02 853.06 2.3275
210 0.00117094 894.08 898.18 2.4218
220 0.00118869 939.74 943.90 2.5155
230 0.00120803 986.09 990.32 2.6087
240 0.00122921 1033.3 1037.6 2.7016
242.557 0.00123497 1045.5 1049.8 2.7254
242.557 0.0570580 2602.9 2802.6 6.1243
250 0.0587570 2624.1 2829.7 6.1764
260 0.0608880 2649.8 2862.9 6.2393
270 0.0628980 2673.7 2893.8 6.2968
280 0.0648170 2696.3 2923.2 6.3503
290 0.0666640 2718.0 2951.3 6.4006
300 0.0684530 2738.8 2978.4 6.4484
310 0.0701940 2759.1 3004.8 6.4940
320 0.0718940 2778.9 3030.5 6.5377
330 0.0735590 2798.2 3055.7 6.5799
340 0.0751940 2817.2 3080.4 6.6206
350 0.0768040 2836.0 3104.8 6.6601
360 0.0783900 2854.5 3128.9 6.6984
370 0.0799560 2873.0 3152.8 6.7358
380 0.0815050 2891.1 3176.4 6.7723
390 0.0830380 2909.3 3199.9 6.8079
400 0.0845560 2927.3 3223.2 6.8427
410 0.0860620 2945.1 3246.3 6.8769
420 0.0875560 2963.0 3269.4 6.9104
430 0.0890390 2980.7 3292.3 6.9433
440 0.0905130 2998.4 3315.2 6.9756
450 0.0919780 3016.1 3338.0 7.0074
460 0.0934350 3033.8 3360.8 7.0387
470 0.0948850 3051.5 3383.6 7.0695
480 0.0963280 3069.2 3406.3 7.0998
490 0.0977640 3086.8 3429.0 7.1298
500 0.0991950 3104.4 3451.6 7.1593
520 0.10204 3139.9 3497.0 7.2172
540 0.10487 3175.3 3542.3 7.2737
560 0.10768 3210.8 3587.7 7.3288
580 0.11047 3246.6 3633.2 7.3828
600 0.11325 3282.5 3678.9 7.4356
620 0.11602 3318.5 3724.6 7.4874
640 0.11879 3354.7 3770.5 7.5383
660 0.12154 3391.2 3816.6 7.5882
680 0.12428 3427.8 3862.8 7.6372
700 0.12702 3464.7 3909.3 7.6854
720 0.12975 3501.8 3955.9 7.7329
